,class_0,class_1,r_dtw_10,r_dtw_100,r_dtw_20,r_dtw_30,r_dtw_40,r_dtw_5,r_dtw_50,r_lsmash,r_smash,t_dtw_10,t_dtw_100,t_dtw_20,t_dtw_30,t_dtw_40,t_dtw_5,t_dtw_50,t_lsmash,t_smash
0,41,77,0.9176254026691211,0.9206170052671181,0.9603562696472233,0.9610668961066896,0.9583431952662722,0.884336370495038,0.9476787030213706,0.3335931250545499,0.8968072530829942,0.5153570175170898,3.996299982070923,0.9872040748596191,1.4693760871887207,1.832716941833496,0.3513209819793701,2.269446849822998,0.04155588150024414,1.1488330364227295
1,5,88,0.37071344107213244,0.17226470234997399,0.23328267477203649,0.19600464390087674,0.18123223507746505,0.6039242527948894,0.1747467873013331,0.2975473446630043,0.48711099351250386,0.4980309009552002,4.437312126159668,1.090825080871582,1.4321379661560059,2.1492080688476562,0.3549058437347412,2.2964720726013184,0.03574800491333008,1.0582900047302246
2,90,25,0.5590048436811977,0.33207488622259,0.4143349553933495,0.3579229342674634,0.33939926588429925,0.5527424019483484,0.3334540001034287,0.4668375621159812,0.1945739016058197,0.5958418846130371,4.027790069580078,0.904350996017456,1.503875970840454,1.8163561820983887,0.29630088806152344,2.1209940910339355,0.041702985763549805,0.9175980091094971
3,88,51,0.77895278648636,0.3655086484901788,0.5945928123969667,0.4820567375886525,0.4199826363767906,0.8748014751406498,0.38950900999489313,0.3311313110920377,0.8825277925509601,0.5936388969421387,3.870185136795044,0.9367868900299072,1.421091079711914,1.726330041885376,0.3363220691680908,2.074451208114624,0.0392460823059082,1.026724100112915
4,45,19,0.46818251967693814,0.25827992891378104,0.3156345340684044,0.2760567925137141,0.26215474075270556,0.689516129032258,0.2593569928375249,0.3430778447184304,0.6360720562186701,0.635775089263916,4.280025959014893,0.9314491748809814,1.4009969234466553,1.9557209014892578,0.35178709030151367,2.5461437702178955,0.04198288917541504,1.1033358573913574
5,88,43,0.5643077255771207,0.25058226336219763,0.37039214533482273,0.3017441514375856,0.26862909004060187,0.7843254561770865,0.25530008957897876,0.39910736246063483,0.7647572310303635,0.5639359951019287,4.653700113296509,0.9854981899261475,1.4754788875579834,1.7226440906524658,0.28549790382385254,2.415315866470337,0.04153919219970703,1.079977035522461
6,70,76,0.492779956010328,0.26476957945101987,0.3454910826425521,0.29294455355793925,0.2743389574414505,0.6665325530358449,0.26779148829010324,0.37877925246949495,0.2778296600761753,0.5516891479492188,4.263615131378174,1.058237075805664,1.5889019966125488,1.9160897731781006,0.3546128273010254,2.136223077774048,0.04304003715515137,1.0291540622711182
7,44,53,0.5589416896235078,0.2811354742530592,0.3704940332653187,0.30652173913043473,0.28697434623268525,0.6945304827377804,0.2822535561214982,0.5216729277781561,0.25809237177251976,0.5029580593109131,4.300829887390137,1.0011670589447021,1.3776130676269531,1.9274940490722656,0.3682870864868164,2.225943088531494,0.04456806182861328,1.012253999710083
8,62,65,0.6442302682990362,0.3022939467012923,0.4398257396986749,0.35759960649286765,0.32209876543209875,0.8161412774385213,0.30893806403758195,0.34836787083600174,0.6941300282633467,0.6178781986236572,4.1952431201934814,0.9559729099273682,1.419006109237671,2.0479378700256348,0.34490108489990234,2.2451298236846924,0.04123687744140625,1.0800328254699707
9,9,21,0.24426086665102717,0.0962019558790084,0.16075083328460324,0.12850245449586878,0.11512350727956813,0.331848493285076,0.10720974746331324,0.13451778610506143,0.23280260058163876,0.5524191856384277,3.9681520462036133,0.9244768619537354,1.3227081298828125,1.8559889793395996,0.3477590084075928,2.143381118774414,0.03859901428222656,0.8816449642181396
