,class_0,class_1,r_dtw,r_lsmash,r_smash,t_dtw,t_lsmash,t_smash
0,33,1,0.7487194355851938,0.5419703805624537,0.8723503652408789,0.6143889427185059,0.0366208553314209,1.1928339004516602
1,84,86,0.51098508072757,0.3837120372970533,0.3232923877622511,0.6081931591033936,0.04027700424194336,0.9477939605712891
2,65,14,0.31051880719579666,0.19374822879393752,0.4021126176418694,0.5938351154327393,0.039978981018066406,0.9574098587036133
3,29,58,0.7733439041578577,0.7126218453033348,1.018015341243657,0.6498868465423584,0.044814109802246094,1.1377439498901367
4,57,88,0.29895335839853676,0.2521139641059918,0.3337027613191992,0.6600039005279541,0.04860496520996094,1.0540878772735596
5,28,66,0.832305482808144,0.8029721171155529,0.23137454750740105,0.57328200340271,0.0412750244140625,1.2254021167755127
6,50,31,0.6632547503675069,0.49867670932059566,0.9555205653733646,0.6703019142150879,0.03914523124694824,1.0537910461425781
7,85,24,0.38897237629443426,0.26143327432585906,0.4062334908312433,0.5803158283233643,0.03998398780822754,1.0533678531646729
8,78,88,0.8292633973372584,0.4812932579787418,0.48854422578873186,0.5750160217285156,0.038182973861694336,0.923454999923706
9,70,36,0.9429226018527742,0.8301486549350424,0.8076431699888799,0.5078239440917969,0.04048585891723633,1.1418168544769287
10,69,44,0.361822601683861,0.3211427217939791,0.22122976353347326,0.48772311210632324,0.042240142822265625,0.949329137802124
11,81,99,0.6257174179402851,0.3894655770966553,0.990937951175394,0.6065070629119873,0.04608607292175293,1.0572049617767334
12,12,28,0.7059202981651376,0.3779041942345511,0.47056315016592043,0.5948460102081299,0.03594517707824707,1.0776150226593018
13,1,6,0.8163799174967301,0.8499592472771312,0.33467790058283853,0.6470770835876465,0.046690940856933594,1.035330057144165
14,68,98,0.5058817092520654,0.26307537032993017,0.39869103309403026,0.5639858245849609,0.04404592514038086,1.062331199645996
15,77,36,0.8446343779677113,0.32103919896154454,0.5186635497014336,0.5968539714813232,0.0421748161315918,1.151080846786499
16,26,52,0.20033769849453495,0.08295273335762222,0.4191653827397098,0.5684340000152588,0.0463719367980957,0.9409809112548828
17,15,10,0.7898391812865496,0.7138091988046069,0.5550187867947058,0.6531250476837158,0.039586782455444336,1.0656709671020508
18,32,90,0.8052668494548236,0.41685308856209913,0.22646389239956988,0.6063239574432373,0.03959202766418457,1.1343021392822266
19,93,46,0.5828639618138425,0.43597535103632157,0.3669901920458783,0.6141090393066406,0.04219198226928711,1.0233569145202637
20,27,80,0.9430062630480167,0.9201146764573578,0.5073618666660589,0.5928881168365479,0.039906978607177734,1.033268928527832
21,58,78,0.3535834349805135,0.3314815943545931,0.23782594655493594,0.5902669429779053,0.0408320426940918,0.9097020626068115
22,84,52,0.5062646248630076,0.1919508531849947,0.7849349644618703,0.5575330257415771,0.042015790939331055,0.9937939643859863
23,45,80,0.45087546111082244,0.2906372530865463,0.4456636161867298,0.7100307941436768,0.05958104133605957,1.0277800559997559
24,4,62,0.589893948845914,0.4019324443102785,0.4464303714833179,0.5420799255371094,0.03876996040344238,1.1638801097869873
25,19,7,0.8584744150656268,0.8463315409909182,0.864413672389943,0.6688940525054932,0.04227805137634277,1.0049498081207275
26,24,94,0.7082684411723064,0.5396054964748156,0.45603178093532465,0.5023541450500488,0.037529945373535156,1.3726599216461182
27,54,84,0.6149174528301886,0.5048580496313051,0.2637433401128907,0.7276351451873779,0.04467606544494629,1.0945451259613037
28,78,36,0.29440020885001955,0.2763559854695524,0.20973227560833907,0.5694789886474609,0.041409969329833984,1.0100648403167725
29,100,67,0.8263673674512104,0.4303366527193767,0.8775505767276378,0.7029619216918945,0.0385279655456543,1.1860370635986328
30,32,44,0.6686076509176678,0.5751979639683719,0.781049112494072,0.6023290157318115,0.040997982025146484,1.1846818923950195
31,65,63,0.9168606907256501,0.6461834770830455,0.929740290177042,0.5969350337982178,0.044198036193847656,0.9958980083465576
32,89,93,0.23550945698596706,0.18639027138707467,0.2909725249182322,0.46433496475219727,0.04399394989013672,0.8500781059265137
33,59,64,0.3852349738917898,0.289798392693448,0.20074047102736728,0.5041401386260986,0.04212808609008789,0.9496490955352783
34,48,15,0.5753951808655496,0.26361530173531433,0.6172825264124545,0.488541841506958,0.03841710090637207,1.1625781059265137
35,71,82,0.31643020387844234,0.2089099662203499,1.0190989877442924,0.5638911724090576,0.03823113441467285,1.1122589111328125
36,26,5,0.2846001183802792,0.18865779278964495,0.5891663059528656,0.6215119361877441,0.0422360897064209,1.1376628875732422
37,16,26,0.29435315973223153,0.18617254158378402,0.406606417657364,0.593289852142334,0.03951382637023926,1.1340250968933105
38,5,49,0.6136201645823884,0.5655190907532064,0.23738283677716243,0.6204030513763428,0.04294180870056152,0.9912111759185791
39,53,31,0.9614522981846272,0.7469350374512566,0.625267578203272,0.5967268943786621,0.03856706619262695,1.0348670482635498
40,9,32,0.6972463974889429,0.6090450098446646,0.6462430759422911,0.60776686668396,0.051640987396240234,0.957211971282959
41,88,13,0.5631233838197267,0.3125985393474982,0.8330836003671506,0.6463768482208252,0.06029009819030762,1.0277841091156006
42,27,88,0.4274241022622151,0.314515036040391,0.45656971584138134,0.5437750816345215,0.037670135498046875,1.005021095275879
43,99,54,0.7684805325489589,0.5359318816151598,0.6721715285027328,0.5843911170959473,0.038255929946899414,1.1023600101470947
44,72,63,0.5323122473381541,0.49188715680431017,0.4714051302704981,0.6315841674804688,0.041697025299072266,1.0505039691925049
45,26,23,0.25225715841669294,0.16920585746537958,0.4715079879962593,0.6377441883087158,0.03571605682373047,1.181861162185669
46,94,48,0.5302571121321733,0.24391320454728102,0.6919784696789095,0.5745289325714111,0.04677295684814453,1.1624670028686523
47,44,37,0.5023223638699476,0.40684639873279993,0.7416377864111822,0.5928890705108643,0.04114508628845215,1.0587310791015625
48,25,64,0.889500310641697,0.724157746545674,1.014302663310562,0.6302111148834229,0.04169797897338867,1.1493020057678223
49,57,90,0.4344411114619514,0.3562925589689804,0.22288193261381878,0.4996299743652344,0.04266810417175293,0.9121358394622803
50,35,61,0.3075008887308923,0.3386600951586947,0.9197462263913294,0.4874289035797119,0.042806148529052734,1.1115930080413818
51,25,30,0.4062050750559995,0.23653806738567132,0.37003201099169303,0.5645639896392822,0.046478986740112305,0.9733898639678955
52,90,74,0.750969387755102,0.35159751011646306,0.36049116474880344,0.5753169059753418,0.04425787925720215,1.0004041194915771
53,97,32,0.931556632344034,0.6859457182413757,0.3033353386370159,0.5896408557891846,0.04124307632446289,0.944645881652832
54,59,24,0.43977176003278584,0.32101910239549414,0.37715436365516936,0.565173864364624,0.04059791564941406,1.0327579975128174
55,5,82,0.3955726943569515,0.32797656801885655,0.8425003048075161,0.5709199905395508,0.04295611381530762,1.0894269943237305
56,69,70,0.3204790766184531,0.2677521362959796,0.23586076498053024,0.48671889305114746,0.05405998229980469,1.0258450508117676
57,37,49,0.789552441844647,0.6715945908081933,0.3108121612828392,0.7032840251922607,0.04299807548522949,1.0617539882659912
58,45,70,0.8102874690778812,0.6227583986123658,0.6906496201638066,0.6174499988555908,0.03918910026550293,1.182776927947998
59,8,50,0.5570418411926316,0.41453071158073984,0.20432527428016736,0.562222957611084,0.041069984436035156,0.9317121505737305
60,52,74,0.34014183349338856,0.18611159096178248,0.29345793193915704,0.5554029941558838,0.039788007736206055,1.017768144607544
61,87,43,0.811101015941191,0.6830166962887056,0.3136267554626797,0.5579061508178711,0.03754687309265137,1.102842092514038
62,51,40,0.4608248005883351,0.28326602570505094,0.6881432368147917,0.574160099029541,0.04245281219482422,1.0208818912506104
63,34,83,0.2257234358915704,0.190493436628329,0.8833655480236646,0.6973588466644287,0.04275202751159668,1.1522059440612793
64,68,26,0.30673559601408557,0.20132419270125354,1.040613645768559,0.5816709995269775,0.043054819107055664,1.2157068252563477
65,39,14,0.21783299903424708,0.16296640536751383,0.24099475024046857,0.6433389186859131,0.04025006294250488,0.8872990608215332
66,30,35,0.6391804097951025,0.5673252748713784,0.20340903564654975,0.5680620670318604,0.04117393493652344,0.9816939830780029
67,94,73,0.7740234053074007,0.6570776108335206,0.5460836030417379,0.5973119735717773,0.04006481170654297,1.2685542106628418
68,1,29,0.6678844519966015,0.6041388072976941,1.038718047924145,0.6220700740814209,0.04058980941772461,1.1069271564483643
69,65,98,0.9359172188436053,0.7716610832839802,0.2958994821980037,0.5448739528656006,0.039457082748413086,0.9669950008392334
70,96,38,0.9527293190770963,0.9792002123894307,0.986592340063118,0.6118960380554199,0.04150986671447754,1.1580049991607666
71,25,65,0.677438819979886,0.36208859725688197,0.8937174715712516,0.5542070865631104,0.04505515098571777,1.321504831314087
72,65,3,0.5238633915104504,0.3160307779632131,0.3085224766296087,0.570716142654419,0.04424619674682617,1.0875160694122314
73,7,56,0.8644829800899164,0.7921782621832402,0.311990022071908,0.6219727993011475,0.03826093673706055,1.108457088470459
74,21,16,0.23451931316850225,0.12160227160984734,0.21128495230989708,0.5816261768341064,0.04201984405517578,0.8401129245758057
75,58,47,0.6043066322136089,0.535186467228196,0.4573114518165164,0.49677300453186035,0.04485607147216797,1.0706441402435303
76,1,13,0.9178245673855596,0.7841333081763319,0.4841800873362491,0.5098130702972412,0.04334688186645508,1.1234149932861328
77,2,34,0.4640496960084589,0.21052821947589612,0.7266042011385123,0.6282210350036621,0.033577919006347656,1.1507999897003174
78,85,4,0.40751269035532994,0.2104211232682958,0.25592759075215216,0.4984259605407715,0.048989057540893555,0.918165922164917
79,55,16,0.49866666666666665,0.37285505425980797,0.4896409299839255,0.5590429306030273,0.04308295249938965,1.123633861541748
