m_dtw,m_lsmash,m_smash,s_dtw,s_lsmash,s_smash,sl
0.7379044691721598,0.032474358876546226,0.5522460142771403,0.02468719077963653,0.0007659381391311781,0.04745723514287213,200
1.4547326564788818,0.03583057721455892,0.8736333052317301,0.11324499125884567,0.002113714461634235,0.15855803030034843,400
2.2019439538319907,0.04475299517313639,1.2336603005727131,0.0589962352765581,0.002534793446955814,0.09687564507055785,600
2.9523773193359375,0.04752802848815918,1.434181769688924,0.06874073642954559,0.0016371263538873964,0.09291038204001646,800
3.483414649963379,0.056248982747395836,1.6254250208536785,0.11024098837293422,0.001601521092793649,0.18708250772929433,1000
4.513940970102946,0.06310200691223145,2.1245240370432534,0.22565614435426354,0.0018091558820056495,0.3055180293696361,1200
4.930392662684123,0.07043234507242839,2.3154636224110923,0.17851321076045665,0.0030955776212287854,0.11067317636029564,1400
5.592130343119304,0.07507101694742839,2.305253028869629,0.1970457723232259,0.0011746583987517593,0.14900858372510498,1600
6.556849956512451,0.08344078063964844,2.6223639647165933,0.03526802016485917,0.008986172689536031,0.12021623055263478,1800
7.105264981587728,0.09428167343139648,2.7022292613983154,0.1350119803354707,0.012535748740245406,0.21990057751144912,2000
