,m_dtw,m_lsmash,m_smash,s_dtw,s_lsmash,s_smash,sl
0,0.5979247093200684,0.045072714487711586,0.7230876286824545,0.021813066757349158,0.008401440553511335,0.15359471855269205,200
1,1.1626819769541423,0.04624032974243164,0.6207647323608398,0.06971717242507218,0.002432073657810293,0.015675510334095807,400
2,1.7798998355865479,0.05309430758158366,0.6745163599650065,0.056797806874876934,0.003335708096624796,0.029768455082655795,600
3,2.502494732538859,0.0544896125793457,0.7446740468343099,0.1374999819452851,0.002638223671533436,0.01720843512238533,800
4,2.7649973233540854,0.057579358418782554,0.6943246523539225,0.11571909994965528,0.0039730935241374336,0.04963836249174087,1000
5,3.3500446478525796,0.057662645975748696,0.7442710399627686,0.022983859472273764,0.0025838929636628712,0.046247879629210314,1200
6,3.8539783159891763,0.06444740295410156,0.6834003130594889,0.07346447042794373,0.004722354242395366,0.012922109116925031,1400
7,4.537206331888835,0.06837240854899089,0.7583995660146078,0.22765164723481798,0.008937355986335667,0.023410427966555843,1600
8,5.056005318959554,0.07158438364664714,0.8253763516743978,0.3184363501669547,0.0036203295205000166,0.03787222309201297,1800
9,5.51806902885437,0.07127261161804199,0.865584929784139,0.15438227163287271,0.0018808825335255943,0.07006406396154041,2000
