#PFSA=cfgfiles/PFSA_3_3.cfg,XPFSA=cfgfiles/XPFSA_3_3_oppo.cfg,sequence length=5000,depth for estimating gamma=5,numbers of runs=100
xg,est
0.0120065,0.0801274
0.0349095,0.143921
0.0770412,0.222346
0.035062,0.207117
0.0487626,0.254785
0.0935202,0.241304
0.00527836,0.131362
0.0166522,0.100766
0.0599689,0.138655
0.010976,0.0827639
0.00684501,0.109717
0.00778875,0.0932695
0.000526716,0.060913
0,0.0567511
0.00105354,0.0607227
0.00397151,0.0767667
0.00528155,0.0869166
0.0514009,0.212289
0.0779018,0.220512
0.0464929,0.226721
0.00660075,0.081005
0.00325445,0.0918225
0.00816089,0.117742
0.00444414,0.117699
0,0.0819945
0.0201214,0.114827
0.00908762,0.116248
0.0288715,0.109169
0,0.108947
0.012582,0.111677
0.0230939,0.0908642
0.0164295,0.0951094
0.0145192,0.0827607
0.0102601,0.0816973
0.00324912,0.0888416
0.01396,0.134262
0.00220837,0.0785392
0.00962375,0.0827307
0.00831836,0.0997825
0.00241294,0.0521206
0.00294535,0.0497301
0.00677729,0.0923965
0.00840133,0.0836264
0.00373331,0.107889
0.0140949,0.125222
0.0135532,0.124834
0.0264169,0.124318
0.0245938,0.130679
0.00273727,0.0714442
0.00139449,0.0709004
0.0433224,0.184365
0.00119446,0.182383
0.0151952,0.0731229
0.00187089,0.0740059
0.00221599,0.071303
0.00369398,0.0918003
0.0150793,0.0879542
0.028221,0.146812
0.0336971,0.122858
0.0280505,0.14496
0.030871,0.153418
0.00686189,0.10633
0.00343595,0.128039
0.00370282,0.0662386
0.00673668,0.0657455
0.0301955,0.220044
0.0396667,0.219171
0.0282966,0.221564
0.032307,0.215895
0.0204386,0.211406
0.00696913,0.0783659
0.0651331,0.168807
0.0180539,0.158629
0.0617366,0.244002
0.0059829,0.0627662
0.00738074,0.0735745
0.00336123,0.158573
0.0259904,0.15818
0.00377287,0.0749216
0.00527214,0.149361
0.00122281,0.150403
0.0141913,0.0948102
0.000697479,0.0740843
0.00519352,0.0842014
0.00315032,0.0608277
0.0259742,0.144743
0,0.1473
0.0409353,0.141323
0,0.108681
0.00814617,0.0562121
0.0314308,0.143783
0.0321775,0.13597
0.037437,0.147159
0.00430207,0.0755448
0.0053506,0.0702686
0.000624885,0.176919
0.0375993,0.175842
0,0.161774
0.00518888,0.0712397
0.00735739,0.0692793
