#PFSA=/home/yhuang10/D3M/zutil_/cfgfiles/PFSA_M2_7.cfg,XPFSA=/home/yhuang10/D3M/zutil_/cfgfiles/XPFSA_2_4_3.cfg,sequence length=5000,depth for estimating gamma=4,numbers of runs=200,data generation time=0.070000,xg time=196.180000,est time=0.070000
xg,est
0.0818618,0.0736818
0.0868273,0.0908664
0.0881524,0.0890149
0.0733902,0.0965498
0.0693061,0.0882826
0.0392417,0.0858655
0.0705594,0.0876842
0.0920053,0.0779085
0.0832036,0.07411
0.0802065,0.0818265
0.0692741,0.0764985
0.0507482,0.0939116
0.0447003,0.0975901
0.0507929,0.0833219
0.076574,0.0829891
0.0713345,0.0795667
0.0660894,0.0901031
0.00537166,0.0907589
0.0621201,0.0790027
0.0511971,0.0952245
9.01681e-05,0.0911513
0.063518,0.0759255
0.0464301,0.0913514
0.0681418,0.0800754
0.0513029,0.0777878
0.0211465,0.0936062
0.0559756,0.0829476
0.0618732,0.0906376
0.101005,0.0882226
0.0501204,0.0813283
0.0684842,0.0920867
0.0770091,0.0902514
0.0509835,0.0767101
0.0787871,0.0858392
0.0765551,0.096167
0.0746815,0.0801646
0.0543235,0.085813
0.0169365,0.0816269
0.0833,0.0813343
0.0508286,0.0983
0.0836034,0.0899624
0.0147349,0.0755382
0.0815589,0.0798822
0.0767988,0.0839721
0.0864551,0.0820418
0.0623556,0.0862834
0.0928915,0.0752547
0.0615211,0.0680313
0.0507426,0.104039
0.0800791,0.0816309
0.0766736,0.0755789
0.0833985,0.0843108
0.0656218,0.0800406
0.0454873,0.100438
0.0783292,0.0828069
0.0648694,0.0959047
0.00244103,0.0729147
0.0560849,0.0925876
0.0692976,0.0809647
0.061955,0.0896304
0.0779064,0.0877348
0.0669773,0.0876132
0.0427591,0.0848912
0.0491359,0.0911479
0.0871828,0.0874515
0.0837714,0.0900506
0.0792909,0.0804188
0.0834723,0.0836868
0.0659867,0.088172
0.0492752,0.0845433
0.0804514,0.0785979
0.0457668,0.0861664
0.087273,0.0919622
0.0693432,0.0917545
0.0818764,0.0879724
0.0608664,0.0907529
0.0744405,0.0828378
0.0400757,0.0834572
0.0611276,0.079892
0.0794043,0.0913849
0.078785,0.0849908
0.0728872,0.0939696
0.0961884,0.0864096
0.0809006,0.0834718
0.0963282,0.0669004
0.0860111,0.0827734
0.0901546,0.0883769
0.0661463,0.0853861
0.0624788,0.0752888
0.0658918,0.0856094
0.0701704,0.0844737
0.0756575,0.0848579
0.0682333,0.0829438
0.0445555,0.0923011
0.0844232,0.0789482
0.0801223,0.0834183
0.0754534,0.0836743
0.091291,0.0863916
0.0636133,0.104275
0.0868245,0.0823288
0.0554042,0.085906
0.0690174,0.0903348
0.0838668,0.0797654
0.0526518,0.0916764
0.0828532,0.0884156
0.0755141,0.0855582
0.0810676,0.0835451
0.0882087,0.0961466
0.0615004,0.0842297
0.0864062,0.0809345
0.040034,0.0929869
0.07825,0.0793668
0.0129289,0.0871944
0.0638934,0.0871517
0.0560457,0.0863353
0.0883568,0.0789631
0.0927957,0.0812732
0.0781365,0.0896809
0.0263187,0.0807006
0.0653818,0.0812961
0.0682632,0.0818716
0.0901723,0.0922094
0.0888078,0.0891515
0.0826793,0.0761182
0.0762454,0.0989591
0.0774627,0.0850146
0.0609574,0.0883478
0.0604451,0.0920256
0.029585,0.0815752
0.0497994,0.0857686
0.0833015,0.0857678
0.0704921,0.0966268
0.0678267,0.0926592
0.0765234,0.0674386
0.0826446,0.0916415
0.0835544,0.0826542
0.0665332,0.0845489
0.0710318,0.0830026
0.0825732,0.0864305
0.0789664,0.0920073
0.0399975,0.088433
0.0542478,0.0837135
0.0450755,0.0711228
0.0817861,0.0893823
0.075224,0.0920637
0.0865901,0.0838869
0.0866058,0.0790113
0.0592332,0.0811387
0.0700189,0.0830593
0.0361116,0.0921699
0.07592,0.0855929
0.0657169,0.0819111
0.0942281,0.0874118
0.0915979,0.0797546
0.0964285,0.0840289
0.0841487,0.0900525
0.0800338,0.0776455
0.0747408,0.0983013
0.0632864,0.0808257
0.0796484,0.0825161
0.0230873,0.0938277
0.0749423,0.0866928
0.0844284,0.0899152
0.0843884,0.0872344
0.0825455,0.0821548
0.0886805,0.0842456
0.0968539,0.101349
0.0852179,0.0815878
0.0706617,0.0776844
0.0671104,0.0764619
0.051865,0.0852569
0.0664428,0.0819787
0.0709127,0.0837773
0.0644986,0.0720269
0.0347089,0.0954655
0.0721469,0.100589
0.068303,0.0908344
0.0727783,0.0816461
0.0691409,0.0872354
0.069506,0.0877691
0.0792792,0.0843577
0.0684314,0.0786611
0.0960352,0.0868901
0.0657761,0.0687987
0.0627346,0.0744576
0.0904422,0.0875817
0.0757209,0.0914335
0.0908092,0.0819527
0.0766792,0.0841029
0.0304486,0.0724155
0.0676018,0.0876994
0.0382485,0.0877847
0.0609653,0.109832
0.0840936,0.095102
0.0675141,0.0753165
0.0801739,0.0878195
0.064248,0.0802891
0.0337313,0.0800985
0.0445939,0.0831049
0.0460782,0.076883
