# /home/yhuang10/D3M/zutil_/cfgfiles/PFSA_3_3.cfg
# /home/yhuang10/D3M/zutil_/cfgfiles/XPFSA_3_3_oppo.cfg
# 5000
xg,est
0.995343,0.655807
0.998446,0.649832
0.98868,0.648294
0.995331,0.649218
0.996895,0.640807
0.998445,0.64769
0.993743,0.644424
0.993764,0.649634
0.998449,0.648255
0.987063,0.645117
0.998451,0.659592
0.998446,0.633937
0.998438,0.652126
0.993745,0.657529
0.998444,0.661073
0.998442,0.660812
0.995341,0.645808
0.998439,0.644706
0.9875,0.649405
0.998444,0.65458
0.992454,0.663101
0.99845,0.650692
0.990922,0.652322
0.998448,0.655697
0.998445,0.65922
0.998447,0.654241
0.998453,0.651033
0.991183,0.636022
0.992404,0.658218
0.976829,0.644864
0.995378,0.653878
0.998451,0.651902
0.998454,0.651755
0.995349,0.640221
0.99845,0.646284
0.996873,0.65496
0.998436,0.644816
0.998452,0.644196
0.99844,0.653875
0.998439,0.651517
0.998445,0.654498
0.998451,0.640971
0.99225,0.645474
0.998445,0.644864
0.98717,0.648408
0.98847,0.641455
0.998455,0.650295
0.998446,0.651393
0.992452,0.644879
0.998447,0.654711
0.995341,0.661954
0.995374,0.638288
0.987083,0.66098
0.995352,0.644636
0.993825,0.656983
0.987108,0.639076
0.995341,0.653333
0.998444,0.653079
0.998443,0.650104
0.998446,0.652944
0.993988,0.636867
0.998452,0.645242
0.998449,0.648335
0.99535,0.662389
0.998445,0.660143
0.998443,0.655721
0.995335,0.649144
0.98261,0.653217
0.996892,0.656087
0.998454,0.644817
0.998441,0.653495
0.998445,0.638046
0.998445,0.649633
0.998446,0.651985
0.998444,0.669977
0.998447,0.663428
0.989827,0.659495
0.998449,0.636842
0.998445,0.645118
0.998439,0.65169
0.992245,0.654325
0.989777,0.633489
0.996895,0.645619
0.992584,0.650149
0.987127,0.654712
0.99844,0.644088
0.995347,0.670179
0.99535,0.653639
0.996898,0.656375
0.998454,0.650738
0.996909,0.652898
0.983626,0.648289
0.998448,0.652253
0.998446,0.646084
0.998438,0.658961
0.998456,0.658719
0.998442,0.660253
0.996885,0.650307
0.99845,0.652794
0.996886,0.647758
0.996889,0.640331
0.998451,0.64654
0.981436,0.648919
0.998448,0.658904
0.995392,0.643324
0.998449,0.632167
0.998448,0.655931
0.986108,0.646195
0.998442,0.652831
0.998445,0.658012
0.996902,0.649777
0.998441,0.654398
0.992419,0.655159
0.988667,0.650695
0.99242,0.657437
0.996907,0.643676
0.998453,0.657503
0.996901,0.664805
0.993833,0.646128
0.998451,0.646722
0.989621,0.64821
0.998457,0.648311
0.998449,0.658762
0.99845,0.649093
0.995336,0.632744
0.998441,0.649833
0.998453,0.654969
0.99844,0.656515
0.998443,0.651085
0.996887,0.647715
0.980011,0.651493
0.998447,0.649197
0.99845,0.65315
0.998443,0.649863
0.998453,0.651932
0.998453,0.655051
0.998436,0.651934
0.998443,0.64517
0.998443,0.664432
0.995338,0.656125
0.993737,0.654327
0.995351,0.650519
0.998445,0.64654
0.992413,0.646689
0.992255,0.65545
0.991147,0.642386
0.998446,0.649176
0.998453,0.652815
0.99844,0.661636
0.98471,0.642074
0.998444,0.646254
0.984614,0.654585
0.998446,0.645501
0.995344,0.650008
0.998451,0.643367
0.998447,0.651347
0.995345,0.64617
0.998454,0.649516
0.998437,0.656974
0.99845,0.668329
0.998452,0.65709
0.998441,0.658772
0.998444,0.638861
0.998447,0.655
0.977657,0.653658
0.995336,0.650191
0.998445,0.660563
0.98836,0.646309
0.998444,0.65641
0.987506,0.656198
0.998444,0.647357
0.998454,0.647291
0.998446,0.650407
0.998444,0.650277
0.998453,0.649762
0.981327,0.648085
0.993743,0.657638
0.998448,0.658386
0.998439,0.652728
0.996887,0.66241
0.993758,0.652781
0.988493,0.642301
0.990886,0.654859
0.99538,0.655542
0.9822,0.649975
0.998453,0.657383
0.998441,0.649765
0.99845,0.656859
0.976484,0.643561
0.998448,0.65606
0.993765,0.64782
0.998452,0.650176
0.991103,0.657229
0.99845,0.66205
0.998445,0.638073
0.996894,0.641858
0.998444,0.648221
0.998445,0.646678
0.998437,0.657562
0.998452,0.653176
0.988468,0.646312
0.99845,0.651885
0.998447,0.645644
0.989844,0.652136
0.998448,0.655885
