#PFSA=cfgfiles/PFSA_3_3.cfg,XPFSA=cfgfiles/XPFSA_3_3_oppo.cfg,sequence length=1000,depth for estimating gamma=5,numbers of runs=100
xg,est
0.0458206,0.32166
0,0.318379
0.00472218,0.286712
0.00222594,0.277627
0.0258059,0.281922
0.0137768,0.307905
0.0038329,0.279177
0.000584388,0.281863
0.0291585,0.26537
0.007959,0.259594
0.00684652,0.2827
0.00950129,0.289032
0.0121576,0.296164
0,0.242227
0.0381672,0.247127
0.0445629,0.233859
0.00346085,0.26308
0.0299464,0.244483
0.011556,0.273614
0.0208929,0.253646
0.043488,0.252332
0.00457535,0.252483
0.00836078,0.252798
0.00203977,0.225525
0.00222513,0.233575
0.000730102,0.271078
0.00664983,0.243345
0.00553017,0.235442
0,0.261347
0,0.267421
0.00534226,0.238594
0.0050031,0.238884
0.00131575,0.267058
0.00948836,0.24145
0.00717622,0.269484
0.0395059,0.311289
0.0345354,0.328545
0.0182432,0.27417
0.0256118,0.32616
0,0.320529
0.043352,0.316393
0,0.321307
0.0140005,0.303454
0.00840072,0.299519
0.0160974,0.329019
0.00805945,0.28604
0.00810206,0.275594
0.0029115,0.241542
0.00729612,0.252205
0.000592026,0.263667
0.0103343,0.270512
0.00194321,0.287271
0.000326099,0.257313
0.00440461,0.255748
0.0332405,0.270158
0.0119096,0.255242
0.0115323,0.24701
0.0013707,0.276607
0.0196896,0.273134
0.0185008,0.27334
0.0032136,0.281517
0.0340181,0.286853
0.0383711,0.269842
0.00435233,0.298776
0.00405712,0.297846
0.0286235,0.276694
0.0257948,0.313731
0,0.315133
0.0479428,0.320299
0,0.302734
0.0576574,0.311946
0.0261953,0.311124
0.0457229,0.296384
0.0729497,0.286335
0.0364647,0.334036
0.0274994,0.290952
0.0544472,0.331532
0.124177,0.295911
0.00876541,0.216874
0.00926795,0.229616
0.00905965,0.254766
0,0.228033
0,0.252001
0.0226479,0.228673
0.028353,0.266453
0.0184972,0.235002
0.0332541,0.239474
0.0124815,0.256373
0.0194952,0.24285
0.0394815,0.268745
0,0.201367
0.0329321,0.215355
0.00279647,0.20015
0.0273117,0.223948
0,0.157884
0,0.191008
0,0.230675
0.016941,0.26639
0,0.182677
0.0325117,0.202589
