# /home/yhuang10/D3M/zutil_/cfgfiles/PFSA_M2_3.cfg
# /home/yhuang10/D3M/zutil_/cfgfiles/XPFSA_2_4_7.cfg
# 5000
xg,est
0.0490179,0.0355454
0.065829,0.0347759
0.0136561,0.0267687
0.0110173,0.0303484
0.0172846,0.0328923
0.00458317,0.0334307
0.0502716,0.0356457
0.0515909,0.0281138
0.0113796,0.038178
0.0397562,0.0382417
0.0183645,0.0397939
0.0207738,0.0352381
0.0178562,0.0360771
0.0169254,0.0333916
0.0502596,0.0337049
0.00530825,0.0382033
0.0321083,0.0405794
0.0565124,0.0402961
0.0516605,0.0387127
0.0450928,0.0385341
0.0440606,0.042707
0.0449171,0.036512
0.0386594,0.0333996
0.0259742,0.036465
0.0710731,0.0394864
0.0172326,0.0349341
0.00789212,0.0413656
0.0285291,0.0406625
0.0135893,0.0352085
0.043198,0.0313726
0.0177788,0.0340453
0.0241962,0.0370138
0.0373277,0.0338661
0.000490609,0.0410624
0.0336968,0.030282
0.015193,0.0360237
0.00518695,0.0342293
0.0347746,0.0334273
0.164471,0.0370797
0.00507262,0.0458968
0.000111664,0.0345315
0.0516409,0.0341798
0.053493,0.0406459
0.0041193,0.036794
0.00402822,0.0416906
0.00529642,0.0335677
0.0277861,0.0313792
0.0189773,0.0305842
0.0511462,0.0360267
0.0435832,0.03151
0.0552791,0.0394355
0.00485288,0.0320011
0.0206243,0.0393378
0.0277184,0.0322988
0.0432955,0.036149
0.0692761,0.0421355
0.0141514,0.0368764
0.0184585,0.0324098
0.00242072,0.0377242
0.0144836,0.0393671
0.0049398,0.0308767
0.0535402,0.0393534
0.0299992,0.0354531
0.00346426,0.0410864
0.0576072,0.0369081
0.0322651,0.0316485
0.00635918,0.0328784
0.049847,0.0390195
0.0430662,0.0379815
0.0523133,0.0354154
0.0302931,0.0345746
0.0270019,0.0301021
0.0325951,0.0265307
0.044462,0.0374947
0.00437684,0.0396133
0.000285451,0.0316139
0.0177694,0.0357471
0.0349011,0.037499
0.0163144,0.0326577
0.0541256,0.0396951
0.00883516,0.034562
0.0461926,0.0307462
0.0536929,0.0320154
0.0139771,0.0426071
0.0269578,0.0469552
0.0273036,0.0370763
0.0658888,0.0381807
0.00260374,0.0403193
0.00640573,0.0359569
0.0255965,0.0399052
0.0230923,0.0329416
0.0338397,0.033287
1.19275e-05,0.0346527
0.00452619,0.0329869
0.00822301,0.0338858
0.00771318,0.0422547
0.0636843,0.0314109
0.0511749,0.036378
0.0500352,0.0285107
0.0344863,0.0368293
0.017876,0.033738
0.0617436,0.0394862
0.02665,0.034773
0.0321135,0.0342029
0.0533041,0.0333379
0.0295357,0.0364831
0.0498691,0.03682
0.00278499,0.0320997
0.0423092,0.0388784
0.0428212,0.0283992
0.00475754,0.0360668
0.00633529,0.0356507
0.0608446,0.0350447
0.0471746,0.0398439
0.00672763,0.0319793
0.00549782,0.0437978
0.0513854,0.0351379
0.0080753,0.0376415
0.0201042,0.035228
0.0119066,0.03264
0.0254312,0.0420242
0.0301971,0.0352368
0.0799228,0.0328546
0.00508317,0.0371825
