#PFSA_NumOfStates=3,PFSA_Alphabet=3,XPFSA_NumberOfStates=3,XPFSA_Alphabet=3,sequence length=5000,depth for estimating gamma=5,numbers of runs=100
xg,est
0.00275791,0.0610467
0.0228793,0.144354
0.0188072,0.13172
0.0380345,0.162719
0.0141923,0.1468
0.00762168,0.0904295
0,0.198572
0.0531362,0.194996
0.00516896,0.0891809
0.0200968,0.160562
0.0114036,0.154901
0.00756278,0.145487
0.0014062,0.0577366
0.0423979,0.275508
0.0173226,0.278256
0.000615326,0.0465765
0.000567472,0.0450908
0.000582282,0.0471776
0,0.0432942
0.00338415,0.0807706
0.00749545,0.0790371
0.0210519,0.205565
0.037166,0.194958
0.00954362,0.111892
0.00431835,0.085573
0.000162698,0.0465869
0.000611867,0.0448609
0.157868,0.204999
0.00997045,0.216354
0.0398679,0.147215
0.0225393,0.160094
0.0497598,0.159975
0,0.155286
0.0633184,0.154195
0.13686,0.236619
0.00128798,0.0614001
0.00297804,0.0575912
0.00459666,0.0637058
0.0143019,0.0835436
0.0111305,0.0780272
0.00547671,0.0808907
0.0116492,0.0814985
0.0119289,0.0863653
0.0519747,0.223938
0.0102582,0.0917498
0.00877006,0.0909244
0,0.0943844
0.00297845,0.0959348
0.00823557,0.104051
0.000292019,0.195151
0.0279753,0.184874
0.00499106,0.106253
0.0185589,0.0937773
0,0.101977
0.0607293,0.170509
0.0220511,0.181675
0.0976462,0.139672
0.0310792,0.15963
0.0146521,0.0897094
0.00882555,0.0936307
0.051083,0.200783
0.00530457,0.195325
0.00466299,0.0653037
0,0.10382
0.00733872,0.096723
0.000439667,0.164241
0.0523968,0.171574
0.0110497,0.103733
0,0.110148
0.00537913,0.0942012
0.00423854,0.111071
0.00194979,0.0833736
0.0115446,0.0811005
0.000734321,0.0609834
0.0872525,0.141257
0.00535479,0.0676047
0.00759028,0.0683015
0.00597212,0.0620164
0,0.05714
0.000503804,0.0561353
0.00128289,0.0504482
0.00094423,0.0497582
0.00843868,0.0700697
0.000370945,0.0648844
0.00332069,0.0709572
0.000335001,0.0690952
0.00530874,0.142421
0.0177155,0.141349
0.0128226,0.136837
0,0.14414
0.032376,0.134301
0.0136953,0.169795
0.0182824,0.175765
0.00786919,0.058799
0.00486006,0.0681994
0.00566279,0.0685821
0.00234132,0.0684712
0.02409,0.101773
0.0495804,0.146023
0.0308553,0.12864
