#PFSA=/home/yhuang10/D3M/zutil_/cfgfiles/PFSA_M2_7.cfg,XPFSA=/home/yhuang10/D3M/zutil_/cfgfiles/XPFSA_2_4_3.cfg,sequence length=1000,depth for estimating gamma=4,numbers of runs=200,data generation time=0.010000,xg time=41.820000,est time=0.030000
xg,est
0.0882391,0.0994113
0.0687383,0.0691434
0.065129,0.103199
0.103958,0.0620466
0.100953,0.0884211
0.100911,0.0741546
0.0638827,0.111073
0.0858214,0.109389
0.00194632,0.0972596
0.0493965,0.0936068
0.0776044,0.0939435
0.13283,0.0804675
0.0457097,0.0873216
0.102857,0.0853092
0.0909724,0.0737071
0.093603,0.114579
0.0397737,0.0896877
0.0078953,0.10886
0.056522,0.123784
0.0166387,0.102043
0.0637411,0.10142
0.0937475,0.0859803
0.0542548,0.0953005
0.0660227,0.0812788
0.0786669,0.0951921
0.0996767,0.0967265
0.0608845,0.103775
0.0127945,0.0808973
0.0710494,0.109168
0.0887133,0.113191
0.0659043,0.0988165
0.0394177,0.113292
0.0796947,0.0789107
0.043625,0.118159
0.071709,0.0994421
0.0405879,0.0809303
0.0568572,0.0643295
0.0669695,0.101435
0.0873644,0.0776213
0.0599434,0.11822
0.0455252,0.0931223
0.0165085,0.0827828
0.100155,0.0870711
0.0179431,0.112735
0.0318375,0.117852
0.0946876,0.0974186
0.0828757,0.11237
0.0131082,0.0827645
0.0494077,0.103006
0.0726748,0.10439
0.111735,0.099834
0.0489132,0.122039
0.111981,0.112992
0.0906116,0.11566
0.102376,0.0982222
0.0694571,0.0914035
0.074587,0.0731994
0.0964952,0.120007
0.095982,0.106862
0.110193,0.103482
0.0304149,0.111443
0.0362464,0.111374
0.0743087,0.0884357
0.108665,0.0764911
0.0175278,0.102621
0.0597489,0.1089
0.0762671,0.0755541
0.0772983,0.0782333
0.0713075,0.0996525
0.0891461,0.0897596
0.0624267,0.107041
0.0150335,0.11051
0.00723064,0.0964577
0.067824,0.0758094
0.085622,0.0732512
0,0.0963337
0.06771,0.126596
0.074673,0.0861282
0.0473315,0.0867333
0.000562043,0.0791274
0.0818831,0.115392
0.076081,0.100921
0.0345517,0.0863896
0.0426676,0.117925
0.000706768,0.104036
0.0728053,0.0872623
0.100573,0.0804005
0.0847324,0.0705057
0.0310634,0.103223
0.10062,0.102853
0.0580786,0.100373
0.0842348,0.105204
0.0325419,0.097237
0.0692146,0.107697
0.0652446,0.0849894
0.0546413,0.0988953
0.0585934,0.0894176
0.0782097,0.0955138
0.114633,0.0842492
0.0383463,0.103668
0.0772325,0.133918
0.00856633,0.0960309
0.034991,0.0826356
0.0649047,0.0846587
0.0801374,0.100966
0.0623537,0.103268
0.0590411,0.0727272
0.0727548,0.0636399
0.038641,0.0749946
0.0474637,0.0897071
0.0418136,0.0983109
0.0410506,0.0642308
0.000284734,0.102116
0.106421,0.104001
0.0737512,0.0803013
0.0150639,0.0926377
0.0543166,0.0905154
0.0247906,0.113185
0.0834676,0.128434
0.0457286,0.0915391
0.0876779,0.122479
0.00925475,0.0861494
0.0751934,0.112156
0.0529581,0.0943906
0.103814,0.0834631
0.0588102,0.0911204
0.00748061,0.110779
0.0620454,0.0960933
0.00208514,0.106917
0.0718005,0.0991286
0.035766,0.0761797
0.0847701,0.0829488
0.0476314,0.0865615
0.115942,0.0766102
0.0014447,0.096031
0.0663662,0.0986194
0.0317589,0.103811
0.0550489,0.0857201
0.0379496,0.110148
0.0253293,0.0933929
0.0737957,0.108884
0.121222,0.0881472
0.0829419,0.100843
0.0710561,0.0862002
0.0728101,0.078539
0.034109,0.101175
0.031264,0.0781409
0.0966563,0.0853161
0.0901054,0.100968
0.0551154,0.096117
0.0706968,0.0780841
0.0352723,0.0970567
0.131118,0.109345
0.00869505,0.097113
0.108765,0.120274
0.0508642,0.0662568
0.0223829,0.0783098
0.100368,0.124841
0.0787092,0.103978
0.0458518,0.0970158
0.0225298,0.111833
0.0574186,0.0966153
0.0591906,0.0921659
0.0547182,0.092683
0.0748151,0.0900086
0.0893998,0.12659
0.0544931,0.0925685
0.0645762,0.110136
0.0982646,0.0855434
0.0099967,0.0907859
0.073698,0.0972337
0.0870152,0.0992216
0.0586692,0.0881279
0.083314,0.127614
0.0495443,0.084586
0.0158971,0.116768
0.0496844,0.0996802
0.0769574,0.132264
0.0611037,0.0927798
0.000426679,0.113359
0.0657263,0.0780119
0.074815,0.0826925
0.0378395,0.0948311
0.00129977,0.112464
0.0572005,0.118623
0.097387,0.098688
0.0954643,0.101825
0.0475976,0.0968288
0.0935325,0.0909385
0.0631166,0.0835827
0.0396456,0.098041
0.0786729,0.102035
0.0570546,0.0719062
0.0623313,0.0885014
0.0830067,0.115833
0.0756299,0.102176
0.0507798,0.0649734
0.0765651,0.103608
0.0454517,0.081431
0.0486322,0.0777999
