# /home/yhuang10/D3M/zutil_/cfgfiles/PFSA_M2_3.cfg
# /home/yhuang10/D3M/zutil_/cfgfiles/XPFSA_2_4_7.cfg
# 5000
xg,est
0.0383103,0.0297845
0.0058724,0.037806
0.025849,0.0380897
0.0447037,0.0344537
0.0354962,0.0326336
0.0328828,0.0381621
0.0372513,0.0366345
0.0296938,0.0385996
0.0254108,0.0326467
0.0270188,0.0313294
0.0312138,0.0306984
0,0.039646
0.0322675,0.0356983
0.0245523,0.0388003
0.0371709,0.0367199
0,0.0303045
0.0394535,0.0408061
0.0292145,0.0396362
0.00191656,0.0388346
0.0331313,0.0302114
0.0301421,0.0396531
0,0.0331808
0.035884,0.0425585
0.0315242,0.0308756
0.035819,0.0376438
0.0416391,0.033691
0.0313137,0.0370993
0,0.0403962
0.035567,0.0368995
0.0452901,0.0333318
0,0.0439139
0.0333964,0.0335793
0.0449909,0.0284585
0.0407689,0.0362257
0.0429573,0.0319035
0.0260516,0.0380687
0.0215601,0.0359799
0.0186577,0.0359443
0.0102713,0.0366526
0,0.035668
0.0291908,0.0297542
0.0306799,0.042889
0,0.0410039
0.0360195,0.0374268
0.0325175,0.0374264
0.00416831,0.0289796
0,0.033065
0,0.03303
0.0269373,0.0345971
0,0.0368387
0,0.0322101
0.0400756,0.0377502
0,0.0306703
0,0.0322915
0.0287758,0.0312852
0.00694016,0.0376119
0.0313902,0.0436059
0,0.0343437
0.0351718,0.0404078
0.0398354,0.037803
0.0152605,0.0302983
0.0377395,0.0345038
0.0258478,0.0370314
0,0.0369625
0.0415886,0.0378853
0.0239818,0.0359826
0.038649,0.0294276
0.0372669,0.0317239
0.0445879,0.0335947
0,0.0353136
0.033281,0.0418849
0.037814,0.0359769
0.0281649,0.0359231
0,0.0381689
0,0.0380035
0.0176493,0.0333943
0.00803041,0.0320691
0.0353621,0.0329297
0,0.0357224
0.0371805,0.0346737
0,0.0351891
0.0424797,0.0389671
0.0310059,0.0346839
0.0280348,0.0369251
0.0205335,0.0331219
0,0.030919
0,0.0317061
0.0275704,0.0350002
0.0295298,0.0440773
0.0326599,0.0410042
0.0287152,0.0390946
0.00395793,0.0442605
0.0459376,0.0355418
0.0398611,0.031803
0.0474596,0.0390871
0.0324536,0.0402219
0.0325621,0.0273859
0.0330335,0.0273634
0.0381796,0.0430774
0.0325949,0.0292082
0.0258791,0.035624
0,0.0368225
0.0316937,0.0371319
0.0373376,0.037861
0.0244366,0.0381407
0.0290716,0.0340224
0.0388155,0.0445443
0.0395757,0.0373635
0.0390422,0.0321809
0.0428212,0.041637
0.00781112,0.0375775
0.0361475,0.0369043
0.0504729,0.0337789
0,0.0361316
0.0328908,0.03684
0,0.0328623
0.0260255,0.0374465
0.0430762,0.0387312
0.0208526,0.0280545
0.0181195,0.0421715
0,0.0353369
0.0371065,0.038689
0.0356446,0.0391827
0.0314002,0.0338438
0,0.045258
0,0.0299442
0.00719534,0.0382022
0.026636,0.0361525
0.0274199,0.0456444
0.0307925,0.0368199
0.0431816,0.0390686
0.0261201,0.0405387
0.0436007,0.042392
0.026532,0.0425486
0.0335425,0.0384478
0.041722,0.0337601
0.0347768,0.0387339
0,0.0293463
0.0393157,0.0301317
0,0.0345934
0,0.0349245
0.0309062,0.0349149
0.030902,0.0383358
0.0233928,0.0403915
0.033473,0.0404682
0.0271307,0.0376114
0.0459419,0.0378789
0.0454924,0.034719
0.04583,0.0304626
0,0.0319729
0.0341034,0.0383981
0.0375768,0.0363435
0,0.0366188
0,0.0290944
0.0332632,0.0357526
0,0.033315
0.0406664,0.0377842
0,0.0319581
0,0.0351077
0.0381185,0.0401777
0.0383002,0.0346798
0.0402917,0.0376442
0.0309306,0.0349482
0,0.041708
0,0.0403272
0.0583391,0.0405824
0.00678939,0.0369168
0.0302091,0.0284564
0.0198605,0.0365872
0.0372394,0.0435923
0.0351919,0.0344433
0,0.0424953
0.0462247,0.035241
0.024317,0.0421581
0.0529145,0.0464823
0.0211148,0.0387262
0,0.0380748
0,0.0330922
0.0300544,0.0480161
0.00494675,0.0342726
0.0320908,0.0397368
0,0.0381205
0.0462223,0.033498
0.0349966,0.0351647
0.0361452,0.0399883
0,0.0357554
0.0288307,0.0368622
0,0.0333836
0.0280176,0.0350636
0.00499176,0.0387966
0,0.0336047
0.0450507,0.0311382
0.0376038,0.0325401
0,0.0359658
0.0287823,0.0324593
0.049232,0.0406699
0,0.0360569
0,0.040161
0.0346895,0.0350856
0,0.0281424
0.0294939,0.0382511
0.0363016,0.0404032
0.0219022,0.0339675
0.0306243,0.0338545
0.00541376,0.0363679
0.0460432,0.041079
0.0304383,0.0356719
0.0304569,0.0318615
0.0229844,0.0358123
0.0321461,0.0348559
0.030448,0.0431563
0,0.0257719
0.0448971,0.0461899
0.0421109,0.0312922
0.0263541,0.0434495
0.0458296,0.0409332
0,0.0397363
0.0339053,0.0336787
0.0397687,0.0416009
0,0.0344309
0.0377725,0.0360854
0.0356249,0.030255
0.0354554,0.0371418
0.0206691,0.0366118
0,0.0357186
0.043619,0.0352707
0.0319036,0.0454679
0.030642,0.0397208
0,0.0376767
